uniprot_id,full_hit_id,evalue,bitscore,domain_start,domain_end,query_start,query_end
Q90WA0,sp|Q90WA0|VKT2_PSETT,1.9e-25,93.6,29,82,0,53
C0HMC7,sp|C0HMC7|KUN_HAEDO,1.6e-16,65.0,88,139,1,52
Q7YRQ8,sp|Q7YRQ8|TFPI2_BOVIN,1.8e-16,64.8,153,205,0,52
D2Y491,sp|D2Y491|VKT1D_CONCL,1.9e-16,64.8,5,58,0,53
P0C5J5,sp|P0C5J5|WFKN1_RAT,2.2e-16,64.6,361,413,0,52
P68425,sp|P68425|VKT1A_CYRSC,2.4e-16,64.4,36,86,1,53
P0DJ66,sp|P0DJ66|VKT17_CYRHA,2.8e-16,64.2,24,73,1,52
Q1RPS8,sp|Q1RPS8|VKTH6_BUNMU,3.1e-16,64.1,27,79,0,52
Q1RPS9,sp|Q1RPS9|VKTH5_BUNMU,3.1e-16,64.1,29,81,0,52
Q9R097,sp|Q9R097|SPIT1_MOUSE,3.3e-16,64.0,367,420,0,53
P0DJ76,sp|P0DJ76|VKT4_CYRSC,3.5e-16,63.9,36,86,1,53
O95428,sp|O95428|PPN_HUMAN,3.8e-16,63.8,753,805,1,53
P48307,sp|P48307|TFPI2_HUMAN,4e-16,63.7,156,209,0,53
B2ZBB6,sp|B2ZBB6|VKT11_CYRSC,4.2e-16,63.6,36,85,1,52
G3LH89,sp|G3LH89|VKT_BOMIG,4.7e-16,63.5,29,80,1,52
D2Y490,sp|D2Y490|VKT1C_CONCL,4.9e-16,63.5,5,58,0,53
P86959,sp|P86959|KCP1_PINMA,6.5e-16,63.1,71,122,1,52
D2Y2Q2,sp|D2Y2Q2|VKTM1_CYRHA,6.5e-16,63.0,36,86,1,53
Q868Z9,sp|Q868Z9|PPN_DROME,6.9e-16,63.0,1669,1722,0,53
P19761,sp|P19761|TFPI1_RABIT,6.9e-16,63.0,212,264,1,53
B5L5Q6,sp|B5L5Q6|VKT5_OXYMI,7.2e-16,62.9,31,78,2,49
D2Y488,sp|D2Y488|VKT1A_CONCL,7.4e-16,62.9,23,76,0,53
D2Y2Q7,sp|D2Y2Q7|VKTP1_CYRHA,7.5e-16,62.9,36,85,1,52
Q868Z9,sp|Q868Z9|PPN_DROME,8.2e-16,62.7,1847,1899,0,52
Q589G4,sp|Q589G4|VKT19_ANOSM,8.6e-16,62.7,19,71,0,52
D2Y2Q9,sp|D2Y2Q9|VKTR1_CYRHA,8.7e-16,62.6,36,86,1,53
D2Y2G1,sp|D2Y2G1|VKTJ1_CYRHA,8.7e-16,62.6,36,86,1,53
P0DJ84,sp|P0DJ84|VKT40_CYRSC,8.7e-16,62.6,36,86,1,53
P19859,sp|P19859|VKTCI_NAJNA,9.7e-16,62.5,3,55,0,52
O76840,sp|O76840|PPN1_CAEEL,1.2e-15,62.2,1503,1554,1,52
P04365,sp|P04365|IATR_HORSE,1.3e-15,62.1,62,113,1,52
Q9EPX2,sp|Q9EPX2|PPN_MOUSE,1.4e-15,62.0,749,801,1,53
P16344,sp|P16344|VKT2A_RADCR,1.4e-15,62.0,2,55,0,53
D2Y2Q8,sp|D2Y2Q8|VKTQ1_CYRHA,1.4e-15,62.0,36,86,1,53
P10832,sp|P10832|ISC2_BOMMO,1.6e-15,61.8,14,60,6,52
P10831,sp|P10831|ISC1_BOMMO,1.7e-15,61.7,14,60,6,52
P81658,sp|P81658|VKTHC_DENAN,2e-15,61.5,5,57,0,52
P0DMJ1,sp|P0DMJ1|VKT39_CYRSC,2.1e-15,61.4,35,86,0,53
O76840,sp|O76840|PPN1_CAEEL,2.8e-15,61.0,1912,1964,0,52
D2Y2Q1,sp|D2Y2Q1|VKTL1_CYRHA,3e-15,60.9,36,86,1,53
O35536,sp|O35536|TFPI2_MOUSE,3.5e-15,60.7,154,206,0,52
Q9D263,sp|Q9D263|SPIT4_MOUSE,4.3e-15,60.4,40,91,1,52
D2Y2Q5,sp|D2Y2Q5|VKTN1_CYRHA,4.9e-15,60.3,36,86,1,53
O76840,sp|O76840|PPN1_CAEEL,4.9e-15,60.2,1445,1498,0,53
P11424,sp|P11424|IMAP_DROFU,5.3e-15,60.1,19,62,9,52
Q868Z9,sp|Q868Z9|PPN_DROME,6.5e-15,59.9,2127,2178,1,52
O76840,sp|O76840|PPN1_CAEEL,6.8e-15,59.8,1788,1841,0,53
Q8T0W4,sp|Q8T0W4|VKT2_PIMHY,6.9e-15,59.8,26,76,0,52
Q5VJG2,sp|Q5VJG2|KUNI_AMBHE,7.1e-15,59.7,80,133,0,53
B2KTG2,sp|B2KTG2|VKTH1_BUNFA,7.2e-15,59.7,30,81,1,52
O76840,sp|O76840|PPN1_CAEEL,7.8e-15,59.6,1374,1425,1,52
Q07456,sp|Q07456|AMBP_MOUSE,7.8e-15,59.6,285,336,1,52
Q868Z9,sp|Q868Z9|PPN_DROME,8e-15,59.6,1729,1781,1,53
P81906,sp|P81906|ISPI2_GALME,8.3e-15,59.5,4,52,1,49
B2ZBC0,sp|B2ZBC0|VKTG9_CYRSC,1.1e-14,59.2,35,86,0,53
Q868Z9,sp|Q868Z9|PPN_DROME,1.1e-14,59.1,2192,2244,0,52
Q7T2Q6,sp|Q7T2Q6|VKTHB_BUNFL,1.6e-14,58.6,30,81,1,52
Q62577,sp|Q62577|AMBP_MERUN,1.6e-14,58.6,285,336,1,52
P0DJ74,sp|P0DJ74|VKT76_CYRHA,2.3e-14,58.1,18,69,0,53
P0DJ69,sp|P0DJ69|VKT52_CYRHA,2.3e-14,58.1,18,69,0,53
P0DJ82,sp|P0DJ82|VKT27_CYRSC,2.5e-14,58.0,36,86,1,53
Q868Z9,sp|Q868Z9|PPN_DROME,2.7e-14,57.9,2000,2051,1,52
P62756,sp|P62756|IATR_CAPHI,2.8e-14,57.8,60,111,1,52
P62757,sp|P62757|IATR_SHEEP,2.8e-14,57.8,60,111,1,52
P0DJ80,sp|P0DJ80|VKT22_CYRSC,3e-14,57.7,35,86,0,53
B2ZBB8,sp|B2ZBB8|VKT33_CYRSC,3e-14,57.7,35,86,0,53
P0DJ75,sp|P0DJ75|VKT2_CYRSC,3e-14,57.7,35,86,0,53
P0DJ78,sp|P0DJ78|VKT6_CYRSC,3e-14,57.7,35,86,0,53
P83609,sp|P83609|BMTIA_RHIMP,3e-14,57.7,9,59,1,52
P0DJ85,sp|P0DJ85|VKT45_CYRSC,3.1e-14,57.7,35,86,0,53
Q64240,sp|Q64240|AMBP_RAT,3.2e-14,57.7,285,336,1,52
D2Y2Q6,sp|D2Y2Q6|VKTO1_CYRHA,3.3e-14,57.6,36,86,1,53
D2Y2F8,sp|D2Y2F8|VKTG1_CYRHA,3.5e-14,57.5,35,86,0,53
Q03610,sp|Q03610|YN81_CAEEL,3.5e-14,57.5,529,581,0,52
Q0PL65,sp|Q0PL65|VKTH7_BUNMU,3.7e-14,57.4,6,57,1,52
P02760,sp|P02760|AMBP_HUMAN,3.9e-14,57.4,286,337,1,52
P0DJ70,sp|P0DJ70|VKT53_CYRHA,4.4e-14,57.2,35,86,0,53
D2Y2C2,sp|D2Y2C2|VKTA1_CYRHA,4.4e-14,57.2,35,86,0,53
B2ZBB9,sp|B2ZBB9|VKTG6_CYRSC,5.1e-14,57.0,35,86,0,53
D2Y2F6,sp|D2Y2F6|VKTE1_CYRHA,5.3e-14,56.9,35,86,0,53
P0DJ72,sp|P0DJ72|VKT68_CYRHA,5.3e-14,56.9,35,86,0,53
D2Y2F4,sp|D2Y2F4|VKTC1_CYRHA,5.5e-14,56.9,35,86,0,53
P0DJ67,sp|P0DJ67|VKT34_CYRHA,5.5e-14,56.9,35,86,0,53
P0DJ79,sp|P0DJ79|VKT13_CYRSC,5.8e-14,56.8,35,85,0,52
O76840,sp|O76840|PPN1_CAEEL,6.1e-14,56.7,1269,1321,0,52
P0DJ73,sp|P0DJ73|VKT74_CYRHA,7.1e-14,56.5,35,86,0,53
D2Y2F7,sp|D2Y2F7|VKTF1_CYRHA,7.1e-14,56.5,35,86,0,53
O73683,sp|O73683|A4_DICFU,9.8e-14,56.1,325,378,0,52
P0DJ71,sp|P0DJ71|VKT35_CYRHA,1e-13,56.0,35,86,0,53
D2Y2F5,sp|D2Y2F5|VKT4_CYRHA,1e-13,56.0,35,86,0,53
P0DJ64,sp|P0DJ64|VKT31_CYRHA,1e-13,56.0,35,86,0,53
B5L5Q3,sp|B5L5Q3|IVBS5_OXYSC,1e-13,56.0,31,78,2,49
D2Y2F3,sp|D2Y2F3|VKT2_CYRHA,1e-13,56.0,35,86,0,53
Q02388,sp|Q02388|CO7A1_HUMAN,1.2e-13,55.8,2875,2929,1,52
Q60559,sp|Q60559|AMBP_MESAU,1.4e-13,55.6,285,336,1,52
Q868Z9,sp|Q868Z9|PPN_DROME,1.4e-13,55.6,2251,2303,0,52
P00978,sp|P00978|AMBP_BOVIN,1.6e-13,55.4,286,337,1,52
P07481,sp|P07481|ISC3_BOMMO,1.6e-13,55.4,14,61,5,52
Q63870,sp|Q63870|CO7A1_MOUSE,1.6e-13,55.4,2877,2931,0,52
Q868Z9,sp|Q868Z9|PPN_DROME,2e-13,55.1,2070,2121,1,52
C0HLB0,sp|C0HLB0|MAMB9_DENVI,2.3e-13,54.9,4,54,1,52
Q868Z9,sp|Q868Z9|PPN_DROME,2.5e-13,54.8,2316,2372,0,53
B2KTG3,sp|B2KTG3|VKTH2_BUNFA,2.8e-13,54.6,30,82,1,53
P04366,sp|P04366|AMBP_PIG,4.1e-13,54.1,271,322,1,52
D2Y2F9,sp|D2Y2F9|VKTH1_CYRHA,4.5e-13,54.0,35,86,0,53
P0DJ65,sp|P0DJ65|VKT7_CYRHA,4.5e-13,54.0,35,86,0,53
Q868Z9,sp|Q868Z9|PPN_DROME,6e-13,53.6,1611,1663,1,53
Q2UY11,sp|Q2UY11|COSA1_MOUSE,8.2e-13,53.1,1087,1138,1,52
O76840,sp|O76840|PPN1_CAEEL,1.1e-12,52.7,1729,1781,0,52
B4ESA2,sp|B4ESA2|VKT1L_BUNMU,1.4e-12,52.3,29,80,1,52
P0DJ81,sp|P0DJ81|VKT24_CYRSC,1.4e-12,52.3,35,86,0,53
P0DMW9,sp|P0DMW9|VKT34_ACTEQ,1.4e-12,52.4,4,37,0,33
Q868Z9,sp|Q868Z9|PPN_DROME,2e-12,51.9,1789,1840,1,52
Q2UY09,sp|Q2UY09|COSA1_HUMAN,2.2e-12,51.8,1071,1122,1,52
Q8AY44,sp|Q8AY44|VKTH7_BUNCA,2.8e-12,51.4,30,81,1,52
Q75S50,sp|Q75S50|VKTH3_BUNCA,2.8e-12,51.4,30,81,1,52
Q6UDR6,sp|Q6UDR6|SPIT4_HUMAN,2.9e-12,51.4,40,91,1,52
D2Y2G0,sp|D2Y2G0|VKTI1_CYRHA,5e-12,50.6,35,86,0,53
Q8IUA0,sp|Q8IUA0|WFDC8_HUMAN,6.6e-12,50.2,94,145,1,52
D2Y2G2,sp|D2Y2G2|VKTK1_CYRHA,7.5e-12,50.0,35,86,0,53
P0DJ68,sp|P0DJ68|VKT45_CYRHA,7.5e-12,50.0,35,86,0,53
Q1RPT0,sp|Q1RPT0|VKTH4_BUNMU,1.1e-11,49.6,30,81,1,52
Q8AY45,sp|Q8AY45|VKBH2_BUNCA,1.1e-11,49.6,30,81,1,52
P00989,sp|P00989|VKTH2_BUNMU,1.1e-11,49.6,30,81,1,52
P00987,sp|P00987|VKTH1_BUNMU,1.7e-11,48.9,30,81,1,52
P0DMW8,sp|P0DMW8|VKT33_ACTEQ,1.7e-11,48.9,2,35,0,33
Q75S49,sp|Q75S49|VKTH4_BUNCA,2.4e-11,48.4,29,80,1,52
Q8AY46,sp|Q8AY46|VKTHB_BUNCA,2.5e-11,48.4,30,81,1,52
A0A1D0BND9,sp|A0A1D0BND9|TD1A_HADIN,2.6e-11,48.3,84,122,0,38
Q9W728,sp|Q9W728|VKTH3_BUNMU,2.9e-11,48.2,30,81,1,52
H2A0P0,sp|H2A0P0|KCP5_PINMG,3.2e-11,48.0,102,141,13,52
A0A1D0BND9,sp|A0A1D0BND9|TD1A_HADIN,6.3e-11,47.1,24,76,0,52
Q868Z9,sp|Q868Z9|PPN_DROME,6.7e-11,47.0,1920,1972,0,52
Q7Z1K3,sp|Q7Z1K3|ANIS1_ANISI,7.6e-11,46.8,27,84,1,52
O76840,sp|O76840|PPN1_CAEEL,1.5e-10,45.9,1620,1671,1,52
O76840,sp|O76840|PPN1_CAEEL,1.5e-10,45.9,1149,1202,1,52
M9PE65,sp|M9PE65|AXO_DROME,3.2e-10,44.8,118,170,1,52
C0LNR2,sp|C0LNR2|VKT_VESBI,3.6e-10,44.7,26,76,0,52
O76840,sp|O76840|PPN1_CAEEL,3.9e-10,44.6,1088,1141,1,52
Q08E66,sp|Q08E66|WFKN2_BOVIN,4.7e-10,44.3,325,376,1,52
H2A0N5,sp|H2A0N5|KCP3_PINMG,6.8e-10,43.8,58,95,15,52
Q03610,sp|Q03610|YN81_CAEEL,7e-10,43.7,446,485,14,53
I6VXS1,sp|I6VXS1|KUN2_RHIHE,7.3e-10,43.7,48,87,13,52
Q03610,sp|Q03610|YN81_CAEEL,8.8e-10,43.4,634,687,1,52
H2A0P0,sp|H2A0P0|KCP5_PINMG,8.9e-10,43.4,28,82,1,53
Q6NUX0,sp|Q6NUX0|WFKN_DANRE,9.2e-10,43.4,313,364,1,53
H2A0N1,sp|H2A0N1|KCP2_PINMG,1.1e-09,43.1,86,136,3,52
Q03610,sp|Q03610|YN81_CAEEL,2.8e-09,41.8,741,795,0,52
P86964,sp|P86964|KCP3_PINMA,5.7e-09,40.8,58,95,15,52
P26226,sp|P26226|HTIA_MANSE,1.3e-08,39.7,20,56,0,36
Q7TQN3,sp|Q7TQN3|WFKN2_MOUSE,1.6e-08,39.3,322,373,1,52
H2A0N5,sp|H2A0N5|KCP3_PINMG,1.6e-08,39.4,111,151,12,52
Q2ES49,sp|Q2ES49|VKT2_DABRR,1.7e-08,39.3,29,81,0,52
Q8TEU8,sp|Q8TEU8|WFKN2_HUMAN,2.5e-08,38.7,327,378,1,52
Q9BQY6,sp|Q9BQY6|WFDC6_HUMAN,2.5e-08,38.8,97,128,22,53
P0CAR0,sp|P0CAR0|VKTG1_MICPY,3.1e-08,38.5,4,35,0,31
P86964,sp|P86964|KCP3_PINMA,4.1e-08,38.1,112,151,13,52
Q7YRQ8,sp|Q7YRQ8|TFPI2_BOVIN,4.2e-08,38.0,94,147,0,53
G9I929,sp|G9I929|VKTA_MICTN,5.4e-08,37.7,39,82,9,52
P0CH75,sp|P0CH75|VKT25_CYRHA,1.5e-07,36.2,3,33,1,33
Q09JW6,sp|Q09JW6|KUNI_ARGMO,2.8e-07,35.4,85,139,1,52
H2A0N1,sp|H2A0N1|KCP2_PINMG,4.3e-07,34.8,32,79,3,52
D9IFL3,sp|D9IFL3|KUN1_RHIHE,6.9e-07,34.2,85,138,1,52
P48307,sp|P48307|TFPI2_HUMAN,1e-05,30.4,103,150,8,53
Q96NZ8,sp|Q96NZ8|WFKN1_HUMAN,0.00011,27.1,302,352,3,53
Q11101,sp|Q11101|YL15_CAEEL,0.00043,25.2,34,74,12,52
Q03610,sp|Q03610|YN81_CAEEL,0.00069,24.5,308,364,1,53
P36992,sp|P36992|AMBP_PLEPL,0.00073,24.5,290,342,0,52
P86963,sp|P86963|KCP2_PINMA,0.0033,22.4,111,151,10,52
P84555,sp|P84555|TIQ7_RHISA,0.0054,21.7,6,27,1,22
Q8WPG5,sp|Q8WPG5|KUNI_ORNKA,0.029,19.3,88,129,10,52
O35536,sp|O35536|TFPI2_MOUSE,0.044,18.8,94,146,0,52
P0DJ63,sp|P0DJ63|VKT_OXYMI,0.091,17.8,2,17,0,15
P83605,sp|P83605|BMTI4_RHIMP,0.15,17.1,7,25,1,19
P56409,sp|P56409|KUNI_ORNMO,0.15,17.1,71,113,9,52
Q09JW3,sp|Q09JW3|KUNP2_ARGMO,0.4,15.7,41,82,13,52
Q09JW4,sp|Q09JW4|KUNP1_ARGMO,0.78,14.8,21,62,13,52
P0C5J5,sp|P0C5J5|WFKN1_RAT,1.1,14.3,308,355,5,52
Q8R0S6,sp|Q8R0S6|WFKN1_MOUSE,1.1,14.3,308,355,5,52
Q964Q0,sp|Q964Q0|IXOSP_IXOSC,1.6,13.8,60,93,19,52
P84556,sp|P84556|TIS5_RHISA,2.8,13.0,9,24,0,15
P0DV02,sp|P0DV02|VKT2L_RADCR,3.0,12.9,3,15,1,13
P36235,sp|P36235|KUNPG_ORNMO,14.0,10.7,19,58,14,52
Q09JW6,sp|Q09JW6|KUNI_ARGMO,35.0,9.5,20,43,0,21
Q8WPG5,sp|Q8WPG5|KUNI_ORNKA,530.0,5.7,55,66,41,52
Q6T269,sp|Q6T269|VKT3_BITGA,1300.0,4.5,124,139,0,15
I6VXS1,sp|I6VXS1|KUN2_RHIHE,1800.0,4.0,113,131,11,29
Q09JW6,sp|Q09JW6|KUNI_ARGMO,2400.0,3.6,59,70,41,52
P56409,sp|P56409|KUNI_ORNMO,3000.0,3.3,39,50,41,52
P86963,sp|P86963|KCP2_PINMA,13000.0,1.2,59,73,13,27
